show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1943,Movie,KiiYii - London Bridge Is Falling Down & More Classic Nursery Rhymes,Moonbug Entertainment,,,,2020,ALL,28 min,Kids,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!"
s1944,Movie,KiiYii - Learn ABCs 123s & More Nursery Rhymes for Kids,Moonbug Entertainment,,,,2020,ALL,30 min,Kids,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!"
s1945,Movie,KiiYii - Humpty Dumpty & More Classic Kids Songs,Moonbug Entertainment,,,,2020,ALL,26 min,Kids,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!"
s1946,Movie,Kids Puppet Show,"Damien Eckhardt-Jacobi, Vincent Bova",,,,2019,7+,30 min,"Comedy, Kids","Glove and Boots is a puppet-based video blog. The two main characters are a red, bearded humanoid named Mario , and an anthropomorphic groundhog named Fafa. In this collection of videos, Mario and Fafa cover lots of important topics, like who would win between Optimus Prime and Captain America!"
s1947,TV Show,Kids Behind Bars: Life or Parole,,Max Watchel,,,2019,TV-14,1 Season,TV Shows,"Kids Behind Bars: Life or Parole tells the individual stories of eight previously convicted child offenders sentenced to mandatory life terms, without parole, who are now seeking resentencing on the heels of a recent United States Supreme Court ruling."
s1948,TV Show,Kidnapping,,"Jessica Kehayias, Aketza Lopez, Dennis Mencia",,,2017,16+,1 Season,TV Shows,Based on true kidnapping cases. A woman tells the experience that she lived when she was hired to cook in a house where they had several people abducted. This moving story show us the horror she had to go through when she was forced to work for the kidnappers and how she finally escaped from that nightmare.
s1949,Movie,Kickboxer 3: The Art of War,Rick King,"Sasha Mitchell, Dennis Chan, Richard Comar, Noah Verduzco, Althea Miranda",,,1992,R,92 min,"Action, Sports, Suspense",David Sloan travels to Rio de Janeiro for an exhibition match and puts his life on the line as he confronts an entire gang of international terrorists in order to free a kidnapped girl.
s1950,Movie,Khuda kasam,K C Bokadia,"Sunny Deol, Tabu  Neetu Singh, Beena Banerjee, Farida Jalal, Raza Murad, Govind Namdeo",,,2010,13+,123 min,Action,CBI officer Neetu Singh is framed for the assassination of a chief minister. She attempts to solve this murder mystery with the help of a man who is sentenced to prison for a crime he never committed.
s1951,Movie,"Kevin Smith: Silent, But Deadly (Extended Edition)","Brian Volk-Weiss, Gil Cunha",Kevin Smith,,,2018,,85 min,"Arts, Entertainment, and Culture, Comedy, Documentary","All New Extended Edition! Before Kevin nearly died backstage from his widely reported massive heart attack, he killed onstage discussing his marriage, his kid, his friends and his work (or lack thereof)."
s1952,Movie,"Kevin Nealon: Whelmed, But Not Overly",Jay Chapman,Kevin Nealon,,,2012,18+,57 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","With his unique sense of humor, profound dry wit, and likeable demeanor, Kevin Nealon brings his jazzy cool style to ""Whelmed, But Not Overly."" He's like a big kid as he delights in stories of messing with celebrities and embarrassing moments."
